table.gene	table.logFC	table.logCPM	table.F	table.PValue	table.FDR	adjust.method	comparison	test
1	AMT	6.16310346190887	4.35559733529553	17.5537141004455	0.000245851118635045	0.0158007216710666	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
2	PDE1B	-2.04643260144891	2.12266466325283	1.3255201263488	0.261208969905565	0.588089841673001	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
3	PRR15	-3.61391501709394	2.37791222614792	5.4553756029608	0.0265189153396726	0.197326239244041	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
4	SMDT1	0.428814518848869	7.10120862028657	0.28917239042778	0.594660434890743	0.838383260729719	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
5	NDUFV2	0.116052292789932	8.18229425114989	0.0855259014529181	0.771927680765162	0.93213328335227	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
6	NEURL2	-1.51208063522659	3.07398837841214	3.47152312378817	0.0721052795720126	0.329371205775681	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
7	RBMX	0.236880918325053	6.28089416986187	0.107846364276236	0.744857371275607	0.917448910120958	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
8	CCND3	1.33507282447772	7.1080159247396	2.88548134011112	0.0995791911715735	0.3837442001246	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
9	CDCA4	0.394433611175573	5.57311721345724	0.385815522117052	0.539129889419199	0.805169512438307	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
10	ABITRAM	-1.32451661909669	3.52301603432282	2.85965256210158	0.101040251684939	0.387046915620752	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
11	AHCTF1	-0.590763622972814	4.5341320862283	0.889821106627537	0.352951132142473	0.671796106209737	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
12	STIP1	0.442525457885933	7.50211134813404	0.639195847544481	0.430195505974914	0.727974613543817	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
13	ATP2C1	-1.05530592080534	5.58206837938846	2.26879334988473	0.142308063525223	0.453295002678798	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
14	CHRNA1	0	1.95746769721212	0	1	1	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
15	KAT2B	-1.81632864355528	3.90244578834293	3.334317358207	0.0776700857878902	0.341535177078736	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
16	ING4	0.615730012108479	5.40220371566013	1.33284662846811	0.257280503475591	0.584959419549748	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
17	CIAPIN1	0.780048409301141	5.35968925917311	2.27435762104102	0.141836834190577	0.45279436633106	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
18	RPS6KA3	-1.20524796827072	4.57675988508369	3.53149617557441	0.0698151875468371	0.324174063271022	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
19	FHIT	1.12149545027695	4.37957311359911	2.7736178662934	0.106087344335188	0.396118947737797	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
20	PLEKHB1	1.05921977958777	4.30298109477509	0.381666087149365	0.541306544811074	0.806405221917031	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
21	ERI3	0.399625622287287	6.27614797198308	0.930244018849393	0.342397927336753	0.662176005013767	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
22	STIL	0.832967753306202	3.13704250143238	0.617142126960154	0.438182127822889	0.734485200161197	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
23	POLR3F	-0.236717373162129	4.44482696371629	0.193005659388603	0.66352899525233	0.875846123968914	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
24	GATA5	-4.31724555922972	1.99400925636985	5.19136738960916	0.038373316963185	0.239500994509402	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
25	MPV17L	0.4152958821181	4.5269388806239	0.417302073244004	0.52312568676398	0.79410065157085	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
26	TTK	0.38039814118072	2.9605260278735	0.0888511936833192	0.767667389788364	0.93076345809675	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
27	PLPP6	1.03187431469332	3.95665769039267	1.50658185190162	0.229067100262011	0.555595778544327	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
28	IFT74	-0.4413789754281	3.8238593833651	0.382144888914592	0.541054543992513	0.806346102554579	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
29	ZNF414	-0.463624897309764	4.4944688407443	0.458181372144461	0.503585712047843	0.778646294760152	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
30	DNAJA2	-1.15304527762861	6.31824101600669	5.49508174784969	0.0257802793480318	0.194047097870558	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
31	SLC22A5	0.761123137048639	3.92724509855524	0.704966190170169	0.407664522872842	0.712317680979513	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
32	SH2B2	-0.292239432503843	2.05145902556709	0.09564551510343	0.771654267579347	0.93213328335227	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
33	ATP6AP1	-0.36514312784986	7.6112202678425	0.450078207437503	0.507355489845957	0.78264609441343	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
34	ATXN7L3	0.920484033445597	4.12893094850825	1.32627958941711	0.25843128976793	0.586158573603803	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
35	TMEM86A	1.57456849296543	5.13366830193963	3.54321142765398	0.0693774595791329	0.323276610256593	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
36	ANKHD1-EIF4EBP3	-0.837757508668783	5.32812290058533	2.13284582994924	0.154415638974217	0.469309612629413	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
37	GABRA2	4.63593935234685	2.20794847238754	8.26186802718279	0.00758185471471013	0.103735601755002	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
38	RAD9A	0.4668198927778	4.24882490754688	0.587711202286188	0.449209043461585	0.743201569255664	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
39	KCNF1	2.06926602693397	1.99094868941587	2.22019033027127	0.214939515752434	0.540788854237549	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
40	LIG3	0.618723575973521	4.71315854024934	1.382755052296	0.248745266920701	0.575396209586023	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
41	KCTD20	0.264301978843286	5.18611729895807	0.379791987421088	0.542295029277285	0.807074950668929	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
42	SNX32	0.175062672626799	3.39059212433115	0.0460956043132303	0.831533777558568	0.958668725192369	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
43	EEPD1	-0.379727193833742	4.02482995004689	0.124712164188801	0.72641224549352	0.905355744305603	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
44	ATP5F1C	0.581129778515194	9.15359307110011	1.41024148159272	0.244198302246558	0.571199192478565	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
45	CUEDC1	-1.67807605768103	3.64325688201681	7.18677640790793	0.0117449247442957	0.13216191414703	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
46	FUNDC2	-0.670287881083095	3.95993780538459	0.558823090713217	0.478366145122995	0.76136688077458	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
47	SEPSECS	-0.478972612315578	4.69271858487369	0.556010410974243	0.461590328474725	0.752081204778567	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
48	KIZ	-0.627168132436556	4.80254588568811	0.890959164480545	0.352647821717292	0.671796106209737	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
49	TIGD3	3.25930036811004	1.88354593077429	5.09743806511513	0.0388296552930475	0.240738409513868	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
50	PIGL	0.811491865936074	4.36721650224558	2.37207881101288	0.19857537681771	0.524351739060316	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
51	TUBA1B	3.09942095545963	11.4695208453172	8.8135455458629	0.00578116875342951	0.0912175108099261	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
52	CST6	-3.8438560228393	3.1489266397193	13.794717654758	0.00111342620763751	0.0366408634259899	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
53	RAB11A	-0.118553782636609	7.44593984448212	0.101510427959122	0.752199866733891	0.921934388198482	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
54	PCCB	0.158792308276304	5.21025548752509	0.0385157576439385	0.853048864653812	0.968602638798687	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
55	CLP1	0.337031408981515	4.21623513153633	0.220799555625391	0.641779548319034	0.865451882835597	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
56	BMERB1	6.49591633090036	4.51961981872186	10.2209525862142	0.00394324354081921	0.0728868124996935	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
57	CPEB4	-1.12162409391033	6.07555557455227	3.29311102798594	0.0794348890042977	0.345606190032278	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
58	ERCC8	0.86201925752073	3.99173977894277	1.60389476940466	0.214955478353717	0.540788854237549	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
59	ITIH4	-1.38160157098029	9.50996339018547	1.30971020185484	0.392706033670718	0.70169967348692	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
60	ACTR3	-1.2140106786117	7.88755557999457	3.44539416073113	0.073129393384958	0.331424134892772	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
61	ITGAM	-3.47698006475665	2.02530951884928	9.62491069125671	0.0066709152757525	0.0962320932506268	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
62	MRPL12	0.648898755024602	8.50566977075064	0.760263084441922	0.390070154507533	0.699754501282239	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
63	MYD88	1.27830302788368	4.80782175404904	1.24148489695365	0.407735048866997	0.712317680979513	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
64	MAP4K4	-1.06586592421182	7.10922120081175	5.79072944482953	0.0223777449926866	0.182210741910173	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
