	table.gene	table.logFC	table.logCPM	table.F	table,PValue	table.FDR	adjust.method	comparison	test
10352	PTGS1	-5.77314901999099	6.07579295268619	173.748589560238	4,04E-14	4.72914877298414e-10	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
11421	GATA4	-7.13292736081857	4.6373042631745	221.119914676369	8,93E-13	3.69355016582695e-09	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
11441	TBX20	-6.90590643914272	5.93455856831851	153.339208504448	9,46E-13	3.69355016582695e-09	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3549	C3	-7.60701406526843	12.1500171897037	122.217448938393	8,22E-12	2.40803989182188e-08	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3613	IL6ST	-3.17946439459894	7.99851490219076	96.7835332789736	5,71E-11	1.33810760580182e-07	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3159	CCDC80	-4.83798992606678	7.91791160381475	94.1010681335744	7,92E-11	1.54729077125266e-07	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
7296	EFEMP1	-7.34001230356199	8.70712514101203	91.4095356792527	1,11E-10	1.85575760954764e-07	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
7994	PDGFD	-5.24106595958276	3.7046368446223	90.3457083931314	1,27E-10	1.85821856493457e-07	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
7428	POSTN	-7.65891382628798	8.22488156658067	88.087586778265	1,70E-10	2.08921402073455e-07	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
2111	DPP4	-4.92360038677561	3.80204115169019	117.793132535351	2,11E-10	2.08921402073455e-07	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
