	table.gene	table.logFC	table.logCPM	table.F	table,PValue	table.FDR	adjust.method	comparison	test
7083	GPR158	6.89147139958064	2.5760446333156	89.9282567659496	9,86E-11	9.23688705157178e-07	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
10352	PTGS1	5.63007619438202	6.06683919965354	86.3939812242241	1,58E-10	9.23688705157178e-07	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
6146	MINDY4	4.5509231740386	5.90837937749384	59.5763543999335	9,59E-09	3.74572357682454e-05	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
4274	IL13RA2	5.33220662512419	2.37693981635397	54.2029802453679	2,53E-08	7.4196394771843e-05	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
7970	FGF7	7.68628734563203	4.75944457725489	48.4055790386152	7,77E-08	0.000182028828658575	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
11374	NFYB	2.66625107051987	4.9458173145898	45.9462347904229	1,28E-07	0.000241237683394811	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
11246	PAPPA	4.01122320336258	3.13363592278776	45.3822824717445	1,44E-07	0.000241237683394811	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
3526	DHRS9	6.67058142452772	3.31245493087099	42.8220541656198	2,48E-07	0.000345698538548834	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
9851	GSTM3	2.58724163416676	5.8054152635472	42.5092640900891	2,66E-07	0.000345698538548834	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
9545	CCZ1B	4.38770507789535	5.62169576449916	40.0172092170497	4,60E-07	0.000490396445866188	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
10634	CCZ1	4.38770507789535	5.62169576449916	40.0172092170497	4,60E-07	0.000490396445866188	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
1730	EIF3C	5.07913994831765	7.47187729232077	37.6933935126189	7,83E-07	0.000764812948930666	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
8107	TRPM3	5.36768739233715	2.11054543141884	34.4091688435606	1,72E-06	0.00154579258002688	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
6005	C1QTNF1	4.3584444736068	5.95632106465223	33.7123527998723	2,04E-06	0.00168551645029127	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
11030	EGR3	4.42688740275693	2.35988645082139	33.4780726466164	2,16E-06	0.00168551645029127	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
1597	SLITRK4	4.12295570556181	2.43557555313857	32.5608842062657	2,71E-06	0.00197919693148213	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
7296	EFEMP1	6.91703140343604	8.7057743212333	32.3385762464666	2,87E-06	0.00197919693148213	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
