	table.gene	table.logFC	table.logCPM	table.F	table,PValue	table.FDR	adjust.method	comparison	test
5956	LYPD6B	7.57753704328892	3.57894141395058	211.629860003554	7,93E-17	9.33041440477754e-13	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
413	PAX9	7.45118720050213	4.39676251565987	152.690241142243	1,18E-14	6.42990369666191e-11	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
2904	PTGER3	7.99753377465244	3.77620201360851	149.366779165735	1,64E-14	6.42990369666191e-11	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
7385	TM4SF20	9.16233259362177	4.54025651814026	285.032084440739	1,34E-13	3.94908486036361e-10	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
6803	VIT	9.53483970142547	4.49325490455498	126.925575693889	1,77E-13	4.15722165193429e-10	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
8875	PLCB4	6.89931273616661	4.99842922491868	113.311690957062	8,82E-13	1.73019732242427e-09	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
8785	TNFRSF11B	7.295648229871	6.58653406913223	91.7824439574276	1,56E-11	2.55867458422145e-08	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
9006	NLRP10	6.50179881085174	2.7649019820738	91.0262793588214	1,74E-11	2.55867458422145e-08	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
2255	AMZ1	4.65496173410228	1.92371781675729	91.5895406671273	2,99E-11	3.91456764561957e-08	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
4729	KRTAP1-5	5.41642870525113	2.8891243310358	81.3192382005767	7,55E-11	8.88163910532315e-08	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
10862	RND3	3.78394484979222	7.4122222311431	79.5940689547573	9,93E-11	1.06152462954769e-07	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
9228	MYOZ1	5.52869035303738	2.18957978884515	78.6665928716966	1,15E-10	1.12919377083728e-07	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
1450	LEP	6.60736624177648	2.38272402180777	113.686674701017	2,54E-10	2.2970776835874e-07	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
10819	GRAMD2B	4.26831660726386	6.64391256189474	72.3391590264523	3,29E-10	2.76273128833019e-07	BH	1*groupolfactory_epithelial:h -1*groupasd:h	glm
