pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
1	GO_COLLAGEN_METABOLIC_PROCESS	2.11562750569633e-06	0.00169944590982315	0.707792246404286	1.83507813365092	0	79	c("IL6", "FAP", "HIF1A", "CYGB", "EMILIN1", "PPARG", "ITGB1", "PLOD2", "CTSK", "VSIR", "ID1", "SERPINH1", "ADAMTS2", "MFAP4", "COL5A1", "MMP19", "ITGA2", "MMP1", "F2R", "MMP14", "P3H3", "RCN3", "MMP2", "PDGFRB", "ADAMTS3", "ENG", "COL1A2", "VIM", "PLOD1", "CST3", "MMP16")
2	GO_REGULATION_OF_COAGULATION	2.15069026404024e-06	0.00169944590982315	0.716748234504333	1.83195238660087	0	67	c("C1QTNF1", "PROS1", "PRKG1", "HPSE", "FAP", "EDN1", "CD34", "APOE", "PDGFRA", "THBS1", "NFE2L2", "PDPN", "CEACAM1", "TFPI", "SERPING1", "VTN", "F2R", "LYN", "SERPINE2")
3	GO_COLLAGEN_BINDING	2.18170552647827e-06	0.00169944590982315	0.746230680375224	1.88383060897967	0	59	c("C1QTNF1", "SPOCK1", "LUM", "FN1", "LOX", "PODN", "DCN", "ECM2", "THBS1", "ITGB1", "VWF", "ANTXR1", "CTSK", "DDR1", "SERPINH1", "NID2", "SPARCL1", "ADAM9", "SPOCK3", "ITGA2", "SPARC", "COMP", "COL5A3")
4	GO_EXTRACELLULAR_MATRIX_DISASSEMBLY	2.1992280709471e-06	0.00169944590982315	0.760781977975922	1.90688683693875	0	55	c("DPP4", "TIMP1", "IL6", "MELTF", "FAP", "LAMC1", "CTSK", "PDPN", "ADAMTS5", "DDR1", "ADAM10", "MMP19", "MMP1", "MMP14", "MMP2", "CST3", "MMP16", "TIMP2", "DDR2")
5	GO_GLOMERULUS_DEVELOPMENT	2.26256629319239e-06	0.00169944590982315	0.79032244723309	1.93225034743646	0	44	c("PDGFD", "TCF21", "SULF1", "ANGPT2", "WT1", "MTSS1", "COL4A4", "CD34", "GPR4", "ACTA2", "PDGFRA", "ANGPT1", "EGR1", "SULF2", "PDGFRB", "MAGI2", "OSR1", "KLF15", "JAG1", "NOTCH3")
6	GO_COMPLEMENT_ACTIVATION	2.31008769092875e-06	0.00169944590982315	0.833135916084111	1.99934164712131	0	38	c("C3", "CFD", "PROS1", "IL1B", "CFH", "CD55", "C1R", "SERPING1", "VTN", "CFI")
7	GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	2.31008769092875e-06	0.00169944590982315	0.848648278059858	2.03656787965382	0	38	c("C3", "PROS1", "IL1B", "CFH", "CD55", "C1R", "SERPING1", "VTN", "CFI")
8	GO_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	2.31008769092875e-06	0.00169944590982315	0.821036241067444	1.97030510733179	0	38	c("PTGS1", "AKR1C3", "IL1B", "PTGS2", "PTGIS", "LTC4S", "EDN1", "ANXA1", "ELOVL2", "PTGDS", "PTGES")
9	GO_PROSTANOID_METABOLIC_PROCESS	2.33886396699395e-06	0.00169944590982315	0.8368375694505	1.98620782597957	0	35	c("PTGS1", "AKR1C3", "IL1B", "PTGS2", "PTGIS", "EDN1", "AKR1C1", "ANXA1", "PTGDS", "PTGES", "AKR1C2")
10	GO_ICOSANOID_BIOSYNTHETIC_PROCESS	2.33886396699395e-06	0.00169944590982315	0.831864400550728	1.97440416497146	0	35	c("PTGS1", "AKR1C3", "IL1B", "PTGS2", "PTGIS", "LTC4S", "EDN1", "PLA2G4A", "PLA2G5", "ANXA1", "PTGDS", "PTGES")
11	GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	2.46235065843257e-06	0.00169944590982315	0.858788415761218	1.93956487902451	0	25	c("GATA4", "C3", "IL6ST", "SULF1", "IL6", "IL1B", "HPSE", "PTGS2", "HIF1A", "ADORA2B", "SULF2", "ADAMTS3", "CYP1B1")
12	GO_PROSTANOID_BIOSYNTHETIC_PROCESS	2.52893736580826e-06	0.00169944590982315	0.884465596736377	1.94299748654792	0	21	c("PTGS1", "AKR1C3", "IL1B", "PTGS2", "PTGIS", "EDN1", "ANXA1", "PTGDS", "PTGES")
13	GO_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	2.52893736580826e-06	0.00169944590982315	0.88581051664991	1.94595201188079	0	21	c("GATA4", "C3", "IL6ST", "SULF1", "IL6", "IL1B", "HPSE", "PTGS2", "HIF1A", "ADORA2B", "SULF2", "CYP1B1")
14	GO_ACUTE_INFLAMMATORY_RESPONSE	4.31535771078904e-06	0.00269278321153236	0.715559764963614	1.8238776930251	1	65	c("C3", "IL6ST", "IL6", "IL1B", "PTGS2", "FN1", "PPARG", "SERPINA3", "PRCP", "C2CD4B", "PTGES", "OSMR", "ICAM1", "PLSCR1", "PIK3CG", "GATA3", "ADORA1", "ANO6", "ASH1L")
15	GO_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT	4.95320459954579e-06	0.00283289334201966	0.842447714619546	1.89078109147844	1	24	c("PDGFD", "TCF21", "ANGPT2", "WT1", "CD34", "GPR4", "ACTA2", "PDGFRA", "ANGPT1", "EGR1", "PDGFRB", "OSR1")
16	GO_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	5.18853851841283e-06	0.00283289334201966	0.876195895024666	1.8745012146603	1	18	c("C3", "IL6ST", "IL6", "IL1B", "PTGS2", "C2CD4B", "OSMR", "PIK3CG")
