table.gene	log*sign
TBX20	19,16875564
FBN2	14,4169686
NID2	14,37210381
IGF2BP1	13,41648098
G6PD	13,3669294
ID3	13,09240397
HLA-DQB1	-12,96884777
LXN	12,96240096
LOXL2	12,77789674
TBX18	12,44645659
SORL1	-12,36962838
HLA-DMB	-12,3455444
MGLL	-12,18641008
ENPP4	-12,04058769
LGALS1	11,98907091
CLEC11A	11,90759549
TUBA4A	-11,89795146
PLOD1	11,8860431
MFSD6	-11,75746593
MOB3B	-11,74865249
ZMAT1	-11,652954
NFYB	11,28109962
SLC20A1	11,15693696
PRDX4	11,10164727
POLE4	11,00868859
CD74	-10,99624564
LAIR1	-10,88530213
DGKG	-10,87219629
XXYLT1	10,86507556
TP53I11	10,74972817
GPC6	10,73307194
ROMO1	10,65857108
SEC61G	10,63145291
RRAGD	-10,62709551
LRRC17	10,62614573
LSS	10,59827021
IER5L	10,51949945
ARAP2	-10,498088
GTF2H5	10,46032802
RCN1	10,44068517
PSMB5	10,43843283
QSOX1	10,42034126
CSF1R	-10,38395871
TMEM176B	-10,33205093
TSEN34	10,30013923
RNASE6	-10,29686169
TIMP1	10,29187902
MTX1	10,2629116
PTX3	10,24077869
SLC31A2	-10,23790675
KDM1A	10,2017396
RAB34	10,11973075
ANAPC11	10,11274877
EFEMP2	10,05870432
PIP5K1B	-10,03535994
OGFOD3	10,01500095
PRPF31	9,991431093
TYROBP	-9,988051966
PLEKHG3	-9,95747462
TFPI2	9,90422493
P3H1	9,873897122
HLA-DRB5	-9,859238657
BIRC3	-9,846798953
RGS1	-9,826628
RASGRP1	-9,808157405
MMP1	9,782417387
SPC24	9,781319306
MS4A6A	-9,781299953
PMPCA	9,724385104
NME2	9,71608766
SNRPD2	9,710762657
RCN3	9,708848381
SRPX	9,672913256
PDIA3	9,665880074
CPD	9,633876242
GANAB	9,603666109
SSRP1	9,571403092
UROD	9,562874977
HLA-DQA1	-9,54517655
LAMC1	9,536600955
SAMM50	9,533382047
PLCG2	-9,529486412
GPR183	-9,522847129
RICTOR	-9,514127114
TPI1	9,493250453
GADD45GIP1	9,489255249
CBX7	-9,481786071
FKBP10	9,45721739
P3H3	9,448223872
ITSN2	-9,437566511
PPIB	9,432838251
GALNT2	9,386617917
EIF4EBP1	9,385199698
GYS1	9,382894936
SPATC1L	9,377954544
TMEM176A	-9,373766344
CCSER1	-9,366476982
NME4	9,336145065
C1QTNF6	9,303284112
NME1	9,299009713
DCUN1D5	9,270842873
CZIB	9,25842427
SRPRB	9,257061361
SEC61A1	9,254437329
SHC1	9,252735998
CENPN	9,251045877
ELOC	9,225710575
NPM3	9,220775402
TGFA	-9,216672481
VAV3	-9,213808214
MEX3B	9,213596133
RAPGEF1	-9,212977965
DUSP16	-9,188656711
FCER1G	-9,18137413
P3H4	9,164045395
SPATA13	-9,144996431
CALU	9,131423879
SHMT2	9,129627359
EIF4A1	9,077243347
FN1	9,053378068
SF3B5	9,046335071
GPR176	9,039749268
UBE2S	9,023708299
RPLP0	8,988641021
SH3GL1	8,981042833
MPG	8,966276776
LNPEP	-8,934909675
DOCK8	-8,917284869
NUP210	-8,899909443
PSMD2	8,882837034
RPL10A	8,882472973
FGD4	-8,852292534
PSMG1	8,848226842
ITGB2	-8,809149672
PFKFB2	-8,798270748
C1QTNF1	8,777168963
TUBB6	8,755805591
NT5DC1	8,728801425
TLR2	-8,727448416
HIF1A	8,721460337
KCTD15	8,682225928
PSMD8	8,680498563
HSD17B10	8,679607612
SNX10	-8,674025328
CXCL16	-8,673022738
KPNA2	8,67282054
FCGR2A	-8,67266797
REXO2	8,654832968
IL33	8,64779621
EMILIN1	8,627434909
ABLIM1	-8,619360653
LRRC41	8,57014055
TMEM273	-8,556183633
OTULINL	-8,552077309
RBM42	8,547390376
MRPL17	8,540389538
SEMA4D	-8,533807351
CD53	-8,528867102
TC2N	-8,514355396
MGARP	8,463122771
ALDH1L2	8,444301528
FKBP7	8,429405393
RPS15	8,414962596
GCNT2	-8,412387791
NUDT5	8,365125575
RPL4	8,351301522
XRN1	-8,350072205
HIP1R	-8,343842262
KDELR3	8,340103111
F13A1	-8,33557094
TRIB1	-8,330087153
IL6R	-8,327122618
DDX56	8,326300457
PGD	8,31804436
CEMIP	8,314054003
MSC	8,310092703
LCP2	-8,306641586
LYZ	-8,305718036
TPD52	-8,303362844
CD84	-8,300955258
P4HA3	8,278334813
LSR	-8,275663708
MESD	8,274238233
CREBZF	-8,26840239
GBE1	8,260729132
MYDGF	8,246909169
SRSF9	8,225451017
GDF6	8,223176566
GARS1	8,22264133
RETREG1	-8,211896498
SEC61B	8,207976888
CCDC186	-8,204417984
ANGPT2	8,200744971
EVA1B	8,197141234
HGF	8,193228412
UQCC2	8,16071415
MRPL22	8,160526302
FAH	8,152261274
EIF3I	8,137542593
GLRX3	8,13261269
UNC45A	8,132216781
POLR2F	8,121942734
TOMM22	8,098704432
NCKAP1L	-8,093484828
KANSL1	-8,067115654
GALNT3	-8,062086958
EIF5A	8,058077668
C1QB	-8,057613992
CYGB	8,052625526
MDK	8,045157023
ID1	8,023929623
ADAMTS12	8,016975617
MPP7	-8,013648187
EEF1G	8,009344569
CKAP4	8,001767303
GPR155	-7,997877725
RPL9	7,995023123
SPOCK2	-7,986394187
SNAPC2	7,979385232
NAB2	7,975711
MARCHF1	-7,963075629
CCNYL1	7,95686116
POMP	7,948662712
POLR2L	7,945065123
CARHSP1	7,937019912
FAP	7,935549118
PRKCB	-7,932594497
HEG1	7,923600512
PARM1	-7,921722645
BAMBI	7,914675778
SKAP2	-7,91175643
AIF1	-7,90468041
FRMD4B	-7,903320293
GPX8	7,897694803
EIF3C	7,886938819
IQGAP2	-7,881273953
HLA-DOA	-7,877768196
DPP3	7,876709656
P2RY14	-7,866821548
PKDCC	7,857046279
ZNHIT1	7,857041364
LCP1	-7,856377347
CYBB	-7,854674594
TNFSF10	-7,84496158
SLA	-7,836889316
SCAF4	-7,830529807
GMPS	7,829060994
SEMA4A	-7,796441844
PTAFR	-7,792398625
SSBP1	7,788816169
PRDM1	-7,784426637
DPH5	7,782867014
SP2	-7,778329318
TMEM256	7,766116064
RERG	-7,760996869
RRP9	7,760852267
RPL31	7,759081768
ITGA6	-7,757240391
ADD3	7,750199271
STARD5	7,747529138
