table.gene	log*sign
PTGS1	30,84090176
GATA4	27,7437173
TBX20	27,68686151
C3	25,52436935
IL6ST	23,58619741
CCDC80	23,25862673
EFEMP1	22,92268853
PDGFD	22,7878319
POSTN	22,49754656
DPP4	22,27912044
MAOA	22,17732773
FMOD	22,15129741
HGF	22,10364793
PTX3	22,10135962
DEPTOR	22,04205358
MINDY4	21,55064425
ABCA6	21,48643965
TCF21	21,40218311
FGF7	21,10767433
IL33	20,53132178
C1QTNF1	20,41525269
LXN	20,15979042
HSD11B1	19,93686031
SULF1	19,80161028
GASK1B	19,78166588
GPR158	19,63604096
IL1R1	19,4961552
RHOU	19,20264623
ANGPT2	19,13715241
CADM3	19,0987827
IRAK3	18,93872611
CD1D	18,84317691
ARHGAP6	18,70790473
CD200	18,56711374
PLSCR4	18,51992599
FMO2	18,4273389
AKR1C3	18,12161529
CALB2	18,06957741
NFYB	17,92726485
BTG2	17,73087076
TBX18	17,72017627
DEPP1	17,59592521
NKD2	17,55950909
TIMP1	17,22164833
IL6	17,19679952
ADD3	17,12543089
THBS2	17,08685533
CSGALNACT1	17,07678306
CFD	16,9595233
MELTF	16,88060382
PLCL1	16,79297129
SYNPO2	16,60909336
GSTM3	16,53501504
TFPI2	16,526888
SLITRK4	16,50280364
ART4	16,49993876
CCL2	16,48054507
WT1	16,46110071
PKDCC	16,36758963
ID4	16,29662612
ID2	16,25541182
HS3ST1	16,23616622
ANGPTL1	16,15226225
PAPPA	15,93982173
PROS1	15,88095503
LAMA4	15,85816073
NRK	15,81752222
MECOM	15,72523618
MGP	15,69423446
TXNRD1	15,67531026
PLIN2	15,64812421
STARD5	15,57610688
G6PD	15,52159058
BICC1	15,51982955
DHRS9	15,30206961
IL1B	15,22946354
SVEP1	15,20212857
FAS	15,0227671
CACNA2D3	14,99122495
BMPER	14,86245789
NAMPT	14,73122464
BAMBI	14,6482955
DMKN	14,63123625
ANXA3	14,61675315
ALDH1L2	14,43767656
SRPX	14,38260189
STXBP2	14,35855751
ACVRL1	14,3171248
SMAD6	14,30714261
MDFIC	14,20658083
ABCA9	14,19045395
SPOCK1	14,06675309
SLIT3	14,05797895
PRKG1	14,04518351
CLEC11A	14,02865295
EGR3	13,99330532
STEAP1	13,89937777
ROR1	13,89545408
DPYD	13,88311003
ZIC1	-13,86159244
UNC5B	13,83467428
PDLIM5	13,71093196
HPSE	13,69263769
IL13RA2	13,6760208
MATN2	13,64678179
CCNYL1	13,63106132
DSC3	13,61214299
GBP4	13,60578162
SDC1	-13,59569267
PTGS2	13,59244611
MYH10	13,58693923
FZD4	13,57221469
CACNA2D1	13,51255447
MTSS1	13,38351857
ANKRD1	13,34940089
PLCXD3	13,2808556
NCOA7	13,2776703
LIMA1	13,25721317
LUM	13,20013853
FAP	13,17567916
HAND2	13,07424728
LAMC1	13,04910924
MRO	12,97291753
TNFAIP6	12,96098008
HK2	12,94908
SPRY1	12,87212316
DACT2	12,85383829
RESF1	12,81731388
PSD	12,8037214
FBLIM1	12,73070129
ZNF467	12,71352051
EVI5	12,71297258
SOX18	12,71185754
PRKCI	12,69366762
RNASE1	12,66983932
NPR1	12,66265147
NEK7	12,60375078
PRUNE2	12,59955621
MEDAG	12,58885608
COL4A4	12,56479945
PLAC8	12,56392413
HIF1A	12,55702696
TRPM3	12,53988278
NPAS1	12,52815555
NQO1	12,50732653
STON1	12,45818249
PKP2	12,45081772
PTGIS	12,40971471
HNMT	12,32356719
LTC4S	12,32347561
EGR2	12,28799455
SAMHD1	12,23348457
HMCN1	12,13830367
CACNG7	12,11678136
TMX4	12,09641752
ADAMTS1	12,09116554
CYGB	12,08778536
AADAC	12,0644834
LY96	12,01471666
KCNMB4	12,00749125
RBMS3	11,98659073
LGALS12	11,98261871
EDN1	11,95793573
SEL1L3	11,88593831
CFH	11,88100689
EMILIN1	11,87004489
EPAS1	11,8558067
GATA2	11,84599747
PRR15	11,7359854
EIF3C	11,73026654
ABCA8	11,72998356
LRRC17	11,68740385
NDUFA4L2	11,67072702
SAMM50	11,64016523
CERCAM	11,63162973
FN1	11,4475751
CD34	11,4396414
MAPK10	11,37738588
PBX1	11,36395388
