table.gene	log*sign
DRAM1	4,26E+01
PLCB4	4,11E+01
GRAMD2B	4,08E+01
TNFRSF11B	3,89E+01
TFAP2A	3,79E+01
PAX9	3,57E+01
PTGER3	3,34E+01
ID2	3,25E+01
MGARP	3,17E+01
SCN9A	3,16E+01
SULF1	3,11E+01
ADAMTS5	3,10E+01
PDE1C	3,08E+01
MAB21L1	3,00E+01
ITGBL1	3,00E+01
VIT	2,98E+01
PRSS12	2,97E+01
LIMA1	2,94E+01
COL15A1	2,92E+01
NEK7	2,91E+01
MRVI1	2,90E+01
ASPN	2,88E+01
GREM1	2,86E+01
GULP1	2,84E+01
RECK	2,82E+01
GATA2	2,82E+01
KCNK2	2,80E+01
KRT7	2,77E+01
RND3	2,69E+01
GREM2	2,65E+01
PAPPA	2,63E+01
PTK2B	2,59E+01
S100A4	2,56E+01
WNT5A	2,53E+01
THBS2	2,53E+01
RDH10	2,51E+01
PAX3	2,51E+01
CACNA1C	2,49E+01
EFHD1	2,49E+01
SYNPO2	2,46E+01
ERCC6	2,46E+01
IGFBP5	2,45E+01
OXTR	2,45E+01
CACNA2D3	2,42E+01
OSR2	2,40E+01
KIRREL3	2,38E+01
ENPP2	2,35E+01
NPR3	2,34E+01
TMEM237	2,33E+01
DSP	2,33E+01
ALDH1L2	2,30E+01
EYA4	2,30E+01
CCDC9B	2,27E+01
LYPD6B	2,27E+01
ARID5B	2,26E+01
ANKRD13A	2,26E+01
CLIP4	2,26E+01
KRTAP1-5	2,25E+01
MYOF	2,24E+01
SIPA1L1	2,22E+01
LAYN	2,21E+01
LMOD1	2,20E+01
FMN2	2,20E+01
SEMA5A	2,20E+01
MYLK	2,20E+01
SEMA3C	2,19E+01
VCAM1	2,19E+01
FGF7	2,17E+01
SEMA3D	2,15E+01
SYDE2	2,14E+01
KCTD20	2,13E+01
TM4SF20	2,11E+01
KRT34	2,10E+01
VAV3	2,10E+01
FAP	2,09E+01
CCDC85A	2,09E+01
PRRX1	2,09E+01
POSTN	2,08E+01
CDK7	2,07E+01
CALHM5	2,05E+01
TRMT9B	2,05E+01
TFAP2B	2,04E+01
TPD52L1	2,04E+01
FRMD6	2,04E+01
SHOX2	2,03E+01
IL15	2,02E+01
COL12A1	1,99E+01
WNT5B	1,98E+01
RNF150	1,98E+01
KCTD16	1,98E+01
GLS	1,97E+01
MYOZ1	1,96E+01
TMEM47	1,96E+01
EIF2S2	1,96E+01
VGLL3	1,95E+01
LIMS2	1,95E+01
THY1	1,93E+01
ENTPD7	1,92E+01
PPP1R3C	1,92E+01
TSPAN2	1,91E+01
ANKRD28	1,91E+01
