table.gene	log*sign
LYPD6B	-37,07312608
PAX9	-32,0689439
PTGER3	-31,74166347
TM4SF20	-29,638872
VIT	-29,36436534
PLCB4	-27,75607021
TNFRSF11B	-24,88408474
NLRP10	-24,77454912
AMZ1	-24,23155058
KRTAP1-5	-23,30690883
RND3	-23,03329347
MYOZ1	-22,8844844
LEP	-22,09430785
GRAMD2B	-21,83561783
DRAM1	-20,26300205
ANKRD13A	-20,22983929
KRT34	-18,44728811
MGARP	-18,26862151
COL15A1	-18,0441536
OXTR	-17,93142776
CCDC85A	-17,88244918
OSR2	-17,57893923
CACNB4	-17,1853805
ERCC6	-16,96849266
SERAC1	-16,93929527
RECK	-16,71374277
KCNK2	-16,61945579
BPGM	-16,28459332
NEK7	-16,2403434
LIMA1	-16,0689297
PDE1C	-15,89982045
EPGN	-15,37368718
C8orf34	-15,34940832
CDK7	-15,33171337
KCTD16	-15,29428843
GSC	-14,95413016
SIPA1L1	-14,73638616
NXPH3	-14,53025156
RASGRP1	-14,29717125
CDH18	-14,16872411
MRVI1	-14,16119709
SEMA3D	-14,14928448
SCN9A	-14,09140779
ARID5B	-14,0278828
VTI1B	-13,8109673
GPR89B	-13,80266765
GPR89A	-13,80266765
MYOCD	-13,49305762
ANKRD28	-13,47341877
FRS2	-13,3978171
KCTD20	-13,35741326
VAV3	-13,26582016
LIMS2	-13,24313495
HHIP	13,15863155
RDH10	-12,93839018
FDPS	12,57927956
RIC1	-12,50479196
CTNNAL1	-12,33779526
LRRTM3	-12,22873052
ALPK2	-12,17171171
ENTPD7	-12,12857822
DGKI	-12,09757095
SYDE2	-12,03353621
PTGER2	11,94401626
CCDC81	-11,93522886
ACKR4	-11,90821572
DSTN	-11,85331787
GATA2	-11,7894337
CLIP4	-11,76597703
CCNDBP1	-11,72971324
DIO3	-11,63081329
COPZ2	-11,51319469
DSCAM	-11,50897958
ADAMTS5	-11,35256117
RNF150	-11,32783161
NHSL1	11,32778938
ADAM33	-11,25314966
MYPN	-11,24167207
RGS7	-11,22821175
PDCD1LG2	-11,18210734
EYA4	-11,17922731
SLC6A6	-11,1312673
HOXB2	11,07323992
DHCR7	11,04597745
RFC2	11,02999058
TRAF5	-10,90997496
NPR3	-10,85348031
ENPP2	-10,845739
HSPB7	-10,75594029
S100A4	-10,7100392
EIF2S2	-10,70914013
PTK2B	-10,69000128
IL15	-10,68317727
CENPX	10,67598946
TMEM47	-10,6413152
MAB21L1	-10,59687
LAMB3	-10,57111635
SHOX2	-10,43919685
SOD3	-10,42997902
PAPPA	-10,39914092
CCZ1	-10,33199792
CCZ1B	-10,33199792
WSB1	-10,33070489
ISL2	-10,22719487
TGFBR1	-10,22280056
LMOD1	-10,11831382
GINM1	-10,04263475
TM2D1	-10,02754867
MKX	-9,994641062
RNF141	-9,956869153
DOCK5	-9,953599733
CCDC167	9,915768608
KIRREL3	-9,895988203
REC8	9,867106527
FMN2	-9,853634797
FKBP5	9,841680808
RSPO1	-9,818397348
NALCN	-9,803895164
VCAM1	-9,783622425
TFAP2B	-9,7574556
C5orf46	-9,665413885
CLCA2	-9,649990769
PRKCE	-9,617590942
GPR1	-9,615327893
ARRB2	9,578947321
PTGFR	-9,514319702
GNPTAB	-9,498298855
CXXC1	9,453049625
ABT1	9,438127187
CLEC3B	-9,425052581
MYRF	9,418514991
YPEL5	-9,378331749
ZFAND5	-9,346459149
TRMT9B	-9,297280417
OMD	-9,238485518
SECTM1	-9,188281441
ANO4	-9,181569034
IGFBP5	-9,114699708
TTLL3	-9,114265856
TFAP2A	-9,112272603
VEZF1	-9,083961832
CABCOCO1	-9,058232797
MMACHC	9,018133044
WDR91	8,994052815
PDE6G	8,99062978
SOX6	8,980325704
MDFI	8,954689133
ITGBL1	-8,920114527
ST6GAL1	8,875176358
TMC6	8,873536169
LAMA3	-8,822927321
MITF	-8,806082519
CACNA1C	-8,806048053
TRUB2	8,785472871
SERPINB7	-8,776368871
FASN	8,753935889
CACNA2D3	-8,752447043
CNNM1	-8,749321317
RUNX3	-8,721979953
PTPRE	8,718040558
DMPK	-8,717695749
AGFG2	8,714491183
MMD	8,704221924
SLC38A2	-8,702050757
LENG1	8,688943656
EMILIN2	8,678732634
FAM207A	8,664000467
SMAP2	8,630925757
BCS1L	8,525050957
NIPAL3	-8,517110685
HIC2	-8,511025842
USP53	-8,510675747
ADCY4	-8,486542471
COLEC12	8,48467342
DOCK10	-8,462993409
CENPV	8,42197049
SLC1A3	8,367193763
PHLDA1	8,311019628
OGT	-8,242204306
SALL1	8,239208705
TSPAN2	-8,227099621
IMPA2	8,150663948
DNAJC6	-8,132419134
MEGF6	-8,120989161
WDR74	8,110751127
PRSS12	-8,102084558
HTR2B	-8,099258568
STK17B	-8,036084047
FKBP4	8,035120322
IL18R1	8,031361415
COL12A1	-8,025125195
HYOU1	8,021012657
IL7R	-8,013775634
TVP23B	-8,005154476
EXTL1	-8,003874634
SLC4A7	-7,986379581
MAOA	7,980161688
FRMD6	-7,968407317
KRT7	-7,964992388
NOTCH1	7,96242078
ADAMTS7	-7,961814282
UBL3	-7,952852671
CHRM2	-7,915889959
SEMA5A	-7,882833658
FOXRED1	7,882008175
PTPRN2	7,822509203
CYP4X1	7,802343256
SEPTIN4	7,801410378
PDE10A	7,79890532
FAP	-7,783459595
ATL3	-7,777619679
FAM49A	7,727930829
LBR	7,68742251
LYPD1	7,649056655
MANF	7,641096689
ETHE1	-7,578351507
ALPL	7,570813885
PLPP3	-7,556420419
PARP1	7,553723076
CCSER2	-7,546736754
TNFRSF1B	7,541691303
F2RL2	-7,519602838
PRRX2	-7,511135183
PUF60	7,510864829
MRPL24	7,496295602
NSDHL	7,486638284
TIE1	7,482639116
SULF1	-7,471938434
TOMM7	-7,470460053
RIMS1	-7,468590541
ABI3	7,465326427
SEMA6A	7,45350149
LRRN4CL	-7,441464598
ARF4	-7,439631747
CLIP1	-7,430707731
JUP	7,417480571
RHOU	7,409361633
LITAF	-7,388327616
CCDC9B	-7,379100005
MAP2K3	-7,368567997
TMEM40	-7,362288247
RBM43	-7,329690255
OSBPL3	-7,32506877
NPEPPS	-7,322159301
RASD1	7,317005864
LDB3	-7,300874934
TMCC3	7,259987758
CORO1A	7,251762896
PREX1	7,249738478
ECSCR	7,246365798
DTWD1	-7,232403683
RAB22A	-7,229684407
CIAO2A	7,221630418
GULP1	-7,205153248
TMEM237	-7,204985295
ADAMTSL5	-7,193707251
LIMD2	7,101989297
TMEM156	7,076367907
TNIK	7,072833614
HOXB4	7,06562366
SMOX	7,049910598
UBE2B	-7,049695583
MGST2	7,040650776
RNASEH2C	7,025808619
TBXAS1	7,014922072
CD4	7,008773736
CADM3	6,998158801
NPTX2	6,985156978
ZBTB16	6,981726927
CYYR1	6,980974528
LDHA	-6,970114899
LAPTM4B	6,970017759
LRRC20	6,967595106
GALE	6,961714485
CSTF2T	6,955982319
RWDD1	-6,953979217
CFAP36	-6,946793041
CHMP3	-6,939073549
SAP130	6,931792044
DNAJC12	6,924932931
EIF3C	-6,918065796
IARS1	-6,917395418
PXDC1	-6,905036327
FABP5	6,895132365
PPP2R3A	-6,893686314
SERPINA5	6,891195464
MERTK	6,886793193
GLS	-6,87777563
TAF8	6,871186341
LRRC61	6,866625434
CAMK2N1	-6,850216578
AZI2	-6,84997915
CAP2	-6,842561707
MALL	6,834886897
CNST	-6,819869803
CHD7	6,809793734
YEATS2	-6,809018807
SLC9A7	-6,794598354
PEX19	6,78823523
AR	6,775017906
FARSA	6,771288383
ESYT2	-6,767047788
CLCN4	6,765345832
CDC16	-6,759347731
CNN1	-6,756435147
CPXM1	6,755074807
RAB30	-6,747645513
MVK	6,722675422
INSIG1	6,675789093
CDCA7	6,65955588
EPB41L3	6,655948368
SLC5A6	6,651591826
MAP3K11	6,650848588
DBNDD2	-6,631951933
ISOC1	6,621918843
BRI3	-6,617656713
RRAGD	6,616675869
NUDC	6,608392175
HLA-DOA	6,606323197
APMAP	6,603256748
DOP1B	-6,590631581
GPC4	6,567442196
CNPY2	6,56651387
APOE	6,561076136
ALDH1L2	-6,559635455
RGS17	6,55838782
PRPS1	-6,556624421
CYGB	6,554999822
PER1	6,535094629
PKDCC	6,51101393
SULT1E1	6,509393081
RPP25L	6,508400463
EFR3A	-6,499353965
WDR70	-6,495550087
SSH1	-6,495246376
LSP1	6,494480848
MRM3	6,489055665
DPP8	-6,479920838
NETO1	6,476293668
TMEM167B	-6,46751475
ZWINT	6,446093864
CLPB	6,444588069
HOXC4	6,443762302
TRIM2	6,44054248
SMOC1	6,440216252
PARD3B	-6,439375718
TIAM1	6,435649694
KLF7	-6,432763938
FAM160B1	-6,426876238
DCTPP1	6,422098831
GSTM1	6,420205521
NTN4	-6,414994565
SCAMP1	-6,414605383
XPOT	-6,410952971
HOXA3	6,405969906
PKP4	-6,397563571
ERG28	6,390491204
LRIG1	6,389363841
KLHDC2	-6,384418803
PRPS2	6,38020094
LASP1	-6,372550948
NELFCD	6,37148743
PLEKHG1	6,36181186
TCN2	6,35856093
ASPN	-6,353350894
STK38	-6,347168765
SLCO4C1	6,346704477
RNF144A	6,338201451
SIGLEC15	6,328389695
TRIM24	6,32072866
NR4A3	-6,31895784
NDRG2	6,315529073
MAD2L2	6,304745084
LSS	6,303388219
ETV1	6,296652745
DDX56	6,286283726
SERINC3	-6,284298672
DTYMK	6,268985833
FXYD6	6,256235965
OAS1	6,253196986
TCP11L1	-6,246083738
KCNE3	6,240351422
ASAP2	-6,240029614
TFPI2	6,224859732
DDX39A	6,223203174
FYTTD1	-6,214127853
WDR77	6,210414461
RNASE1	6,210153653
MCC	6,206431825
BCL2L2	-6,205841956
PAIP2B	6,203309825
ETV4	6,199237798
PKP2	6,191947293
NR2F1	6,186094001
INHBA	-6,184279388
FAM171B	-6,18014147
SYNE1	-6,173346168
CMIP	6,172318438
YIPF5	-6,170813555
MYORG	6,166568435
WNT5A	-6,14997826
IP6K3	6,14681438
CFL2	-6,146010504
TMEM176B	6,142930876
FHL1	-6,128214729
IGF2BP1	6,127385075
ITGA4	6,127045561
SYNPO2	-6,116802413
ZIC3	6,115582254
CXCL2	6,112364039
CARHSP1	6,108456576
SLC36A1	-6,106167198
IDUA	-6,090765974
SLC16A4	-6,089592033
STEAP3	6,086868398
SIPA1	6,086846681
KCNK6	-6,08620139
ZBTB9	6,083455816
RNPEPL1	-6,076490459
MYLK	-6,070384766
SHROOM2	6,068904956
DLAT	6,061992094
SLC22A15	-6,058437636
FDFT1	6,053303922
ZNF219	-6,051766221
GFOD1	6,048088649
TIMM10	6,047815331
ADAMTSL4	-6,039102617
BTBD11	6,038374984
RPS6KA1	6,038359505
DBI	6,036418975
ITGA10	6,024080354
MARCKSL1	6,023782208
ZFYVE9	-6,021884641
TREX2	6,014404349
ATXN1	-6,014030217
AP4E1	-6,009713278
MRPL33	-6,009143142
MAFB	6,004241056
GNG2	6,001141472
CISH	5,980156466
BACH2	5,975480151
DGKH	-5,973855358
LENG8	-5,96438205
ATP2B4	-5,955083032
SENP3	5,930802543
PXK	-5,918173981
ZNF672	5,912614579
UBE2E2	-5,907408173
ROBO2	-5,905700975
BMT2	-5,901213098
USF1	5,896591894
SAMD9L	-5,890873525
HPS5	-5,885153329
NEDD4L	-5,883833459
ETFB	5,883448891
CEACAM1	5,882451426
ING5	5,872754049
UBA1	5,853314836
RIBC2	5,85130197
SCNN1A	5,847649068
DERL3	5,845592112
FADS1	5,84327804
DPP4	5,825658423
ATP8B1	-5,823012182
APPL2	-5,820168343
TMEM176A	5,816733387
POLR2F	5,814441453
KAZALD1	-5,814064249
MDM2	-5,808307169
TRAM1	-5,8068309
SERPINA3	5,804237945
GABBR2	-5,798170436
ARL14EP	-5,795816916
H2BC4	5,795041312
PSD4	5,792355499
LPCAT3	5,789008019
DOCK7	-5,78350094
DCLK2	-5,780630101
RGMB	-5,773164289
RNASEH2A	5,767894066
KDR	5,767855865
FBXO25	-5,761189877
ID2	-5,746900423
C18orf25	-5,74120349
TBL1XR1	-5,736022159
IFT52	-5,727990722
IL21R	5,722787123
CRHR1	-5,716236137
EPS15	-5,712483034
ZIC1	5,712172517
RBM14	5,711442024
SDF2L1	5,708001717
SPAG5	5,707555927
ZIC4	5,702661565
SYT17	5,701593834
MOB1A	-5,696931535
SLMAP	-5,695220328
SH2D3C	5,694313148
RGS11	-5,687036663
KDM8	5,685137222
GADD45G	5,682644739
GREM1	-5,677850546
LSAMP	5,673580854
LIPG	5,671310271
PPP6R1	5,670597589
TFAP4	5,656400483
CCL20	5,655603709
KIF21B	5,647299518
MFSD2A	5,643996646
TIMM13	5,643753975
AQP3	5,640719687
JAG1	-5,640526607
APLF	-5,637006622
NOL6	5,628567044
RHBDF2	5,624356672
CCL11	-5,617954391
EIF2AK4	-5,617677536
ECE2	5,617050989
DIRAS2	5,616399954
CLDN7	5,614747896
SFRP4	5,606603314
DCPS	5,604468517
TEK	5,60330067
RBBP4	5,598377407
RAC2	5,596438865
HAUS5	5,595770548
SYT14	-5,595689134
TADA1	5,588667484
DGKA	-5,587920525
SLC19A1	5,579479147
EDC3	5,575983703
HPDL	5,561577789
PSMC3	5,559479576
TNFSF18	-5,557544835
ASF1B	5,553660727
ST8SIA4	5,553020088
CST6	-5,544257428
MFSD6	-5,541138002
RBM24	-5,536984053
TBX3	-5,536666772
FAM117A	5,535325727
FURIN	5,534291556
EGFLAM	5,53427694
PMPCA	5,531820264
SLC39A8	5,53109346
RPAP1	5,528448285
STX12	-5,526815613
GGH	5,526652079
LRP4	5,522141973
HMCES	5,518723609
MINDY2	-5,512235027
RGCC	5,503197357
SBDS	-5,502288168
FOXG1	5,494003125
LDB2	-5,490147847
RHOBTB3	-5,487990036
SOCS5	-5,484928992
ARSJ	-5,483512806
FHIT	5,482127938
DDR2	-5,475217561
PLEK2	5,472506416
DNAJB1	5,470341151
SLITRK4	5,469839794
NCAM1	5,46278857
FAM110B	-5,462067209
PCSK6	5,460202166
RAB32	-5,449367348
HMOX2	5,444312611
IL33	5,439137574
KIF13A	-5,436644478
THBS1	-5,43504138
ADAMTS6	-5,434294832
HECA	-5,433567912
DTNBP1	5,430756729
PTPRM	-5,42881958
HOXB6	5,42776874
NR1H3	5,425944894
CCDC124	5,424838966
TNFAIP8L1	5,420476221
EXOSC6	5,42043007
ECE1	5,409780193
CARD10	5,408684104
HOXB5	5,405977396
CGNL1	5,404049054
PRUNE2	-5,400504648
PINX1	5,392267007
NIPSNAP3A	-5,388637253
SMIM12	5,387747376
NUBP2	5,38117063
NR1D2	-5,370574104
CRISPLD1	5,3691453
GALNT6	-5,3613757
TWF1	-5,357960065
DDX41	5,357732239
VPS16	5,35725848
DENND2A	5,346710005
PROS1	5,344242952
TJP2	5,342487469
RPS27L	-5,340690481
CD74	5,323687539
ATP11B	-5,322789736
JAKMIP2	5,314046828
TXNRD1	-5,31035445
ARL6IP1	5,307449632
KIFC1	5,306606505
PAK3	5,305996427
FNBP1	-5,300231731
HGF	5,298426933
TLE4	-5,297127904
SYNC	-5,29435564
STX8	5,291885919
DUSP23	5,285535396
FRMD5	5,275320168
BCHE	5,272580486
CHRNA5	5,272426506
CEP85	5,266888372
CDK2AP2	5,264484925
ETS2	5,263731123
CCDC198	5,260265333
APLN	5,258971201
TTLL4	5,255763977
PRKCH	5,255140215
IFT20	-5,249747266
SPATA20	-5,247710084
KIF1C	-5,247574467
SFXN5	5,246366028
SOCS3	5,246266392
CDH5	5,244275795
BAP1	5,242168471
LNPK	-5,236534073
COX15	5,228912917
EEF1A1	-5,22669929
CASP6	5,224424435
RABGEF1	-5,218175306
DAB2	-5,217487514
DACT1	-5,211273627
CLCN5	5,209043962
SCARB1	5,207402277
CCDC134	5,200441234
BIRC2	-5,199282211
LNX1	5,198664455
LIG1	5,191137168
ZFPM2	5,18607903
JAZF1	-5,181806075
TLE3	5,181109381
HSPB2	-5,17986369
SMURF2	-5,17549378
AKR1A1	5,174193278
SLC25A44	5,172808968
HACD2	-5,172348118
LIME1	5,169502279
POLR3K	5,168563718
ZMAT3	-5,16375333
BDH1	5,162142969
GATM	5,15664757
MARS2	5,15531548
ITPRIPL1	5,15248091
SLC22A3	5,147692834
RC3H2	-5,145750582
TCEAL7	5,144811573
SHMT1	5,142386876
EXOC1	-5,137410917
PRPF31	5,13639763
CXADR	5,133371894
NBEA	-5,132547105
C8G	5,130106832
DCXR	5,127181461
AVPI1	-5,127104801
MYH11	-5,124342364
SPRY4	5,124047949
HIPK2	5,123625327
PDK4	5,122560794
TMEFF2	5,12104431
SOX9	5,117879874
PKNOX1	5,117310153
MCM7	5,110554306
HEY2	5,10475719
NOP16	5,099984659
ANGPT2	5,098520544
CHI3L1	5,096593948
HAPLN1	5,095023735
CHST6	5,091829798
TMEM177	5,080760425
F2RL1	5,078658055
GLRX5	5,075065256
CCNI	-5,07472759
HOXC6	5,074641117
CSGALNACT2	-5,073473243
SNX18	-5,072220082
DDIT3	-5,062853715
DNAJB6	-5,060623243
HPSE	5,054848611
RUNX1T1	-5,052738725
LNPEP	-5,044596376
KCNG1	5,04409583
KLHL4	5,040233404
IL1B	5,036139669
CELF2	5,036006761
PDPN	5,03506886
SLC9A3R1	5,034363501
ELP4	5,032127896
AMT	5,030061501
SAE1	5,029407405
LGALS12	5,023969756
EFTUD2	5,023353911
NAT10	5,022653398
TNPO1	-5,02224921
MRPL2	5,020820529
LAS1L	5,017506279
REXO2	-5,014148666
BBX	-5,013507038
FER	-5,008466582
TSHZ2	5,003996382
ABCG1	4,999885633
PCYT1B	4,994653422
MNT	-4,993835142
UQCC3	4,990998007
SLC35F5	-4,988499043
CD274	-4,98845184
INPP4B	-4,986998765
GGT1	4,983983625
CRYAA	4,983450184
ERCC2	4,983206755
