From	To
AEBP2_MOUSE	Aebp2
AHR_MOUSE	Ahr
ANDR_MOUSE	Ar
AP2A_MOUSE	Tfap2a
AP2C_MOUSE	Tfap2c
ARI1A_MOUSE	Arid1a
ASCL1_MOUSE	Ascl1
ASCL2_MOUSE	Ascl2
ATF2_MOUSE	Atf2
ATF3_MOUSE	Atf3
ATF4_MOUSE	Atf4
ATF7_MOUSE	Atf7
ATOH1_MOUSE	Atoh1
ATRX_MOUSE	Atrx
BACH2_MOUSE	Bach2
BARX1_MOUSE	Barx1
BATF3_MOUSE	Batf3
BATF_MOUSE	Batf
BCL3_MOUSE	Bcl3
BCL6_MOUSE	Bcl6
BHA15_MOUSE	Bhlha15
BHE40_MOUSE	Bhlhe40
BMAL1_MOUSE	Arntl
BRAC_MOUSE	Tbxt
CDX2_MOUSE	Cdx2
CEBPA_MOUSE	Cebpa
CEBPB_MOUSE	Cebpb
CEBPG_MOUSE	Cebpg
CLOCK_MOUSE	Clock
COE1_MOUSE	Ebf1
COT2_MOUSE	Nr2f2
CREB1_MOUSE	Creb1
CRX_MOUSE	Crx
CTCFL_MOUSE	Ctcfl
CTCF_MOUSE	Ctcf
CUX2_MOUSE	Cux2
CXXC1_MOUSE	Cxxc1
DDIT3_MOUSE	Ddit3
DLX5_MOUSE	Dlx5
DMRT1_MOUSE	Dmrt1
DMRTB_MOUSE	Dmrtb1
DNJC2_MOUSE	Dnajc2
DNMT1_MOUSE	Dnmt1
E2F1_MOUSE	E2f1
E2F3_MOUSE	E2f3
E2F4_MOUSE	E2f4
E4F1_MOUSE	E4f1
EGR1_MOUSE	Egr1
EGR2_MOUSE	Egr2
EHF_MOUSE	Ehf
ELF1_MOUSE	Elf1
ELF5_MOUSE	Elf5
ELK1_MOUSE	Elk1
ELK3_MOUSE	Elk3
ELK4_MOUSE	Elk4
EOMES_MOUSE	Eomes
ERF_MOUSE	Erf
ERG_MOUSE	Erg
ERR1_MOUSE	Esrra
ERR2_MOUSE	Esrrb
ERR3_MOUSE	Esrrg
ESR1_MOUSE	Esr1
ESR2_MOUSE	Esr2
ETS1_MOUSE	Ets1
ETS2_MOUSE	Ets2
ETV2_MOUSE	Etv2
ETV6_MOUSE	Etv6
FEV_MOUSE	Fev
FEZF2_MOUSE	Fezf2
FLI1_MOUSE	Fli1
FOSB_MOUSE	Fosb
FOSL1_MOUSE	Fosl1
FOSL2_MOUSE	Fosl2
FOS_MOUSE	Fos
FOXA1_MOUSE	Foxa1
FOXA2_MOUSE	Foxa2
FOXA3_MOUSE	Foxa3
FOXD3_MOUSE	Foxd3
FOXF1_MOUSE	Foxf1
FOXK1_MOUSE	Foxk1
FOXL2_MOUSE	Foxl2
FOXO1_MOUSE	Foxo1
FOXO3_MOUSE	Foxo3
FOXP3_MOUSE	Foxp3
GABPA_MOUSE	Gabpa
GATA1_MOUSE	Gata1
GATA2_MOUSE	Gata2
GATA3_MOUSE	Gata3
GATA4_MOUSE	Gata4
GATA6_MOUSE	Gata6
GCR_MOUSE	Nr3c1
GFI1B_MOUSE	Gfi1b
GFI1_MOUSE	Gfi1
GLI1_MOUSE	Gli1
GLI2_MOUSE	Gli2
GLI3_MOUSE	Gli3
GRHL2_MOUSE	Grhl2
HAND1_MOUSE	Hand1
HES1_MOUSE	Hes1
HEY1_MOUSE	Hey1
HEY2_MOUSE	Hey2
HHEX_MOUSE	Hhex
HIF1A_MOUSE	Hif1a
HLF_MOUSE	Hlf
HMGA2_MOUSE	Hmga2
HNF1B_MOUSE	Hnf1b
HNF4A_MOUSE	Hnf4a
HNF6_MOUSE	Onecut1
HOP_MOUSE	Hopx
HSF1_MOUSE	Hsf1
HSF2_MOUSE	Hsf2
HTF4_MOUSE	Tcf12
HXA9_MOUSE	Hoxa9
HXB4_MOUSE	Hoxb4
HXC9_MOUSE	Hoxc9
IKZF1_MOUSE	Ikzf1
IKZF2_MOUSE	Ikzf2
IKZF3_MOUSE	Ikzf3
INSM1_MOUSE	Insm1
IRF1_MOUSE	Irf1
IRF3_MOUSE	Irf3
IRF4_MOUSE	Irf4
IRF7_MOUSE	Irf7
IRF8_MOUSE	Irf8
ISL1_MOUSE	Isl1
JARD2_MOUSE	Jarid2
JUNB_MOUSE	Junb
JUND_MOUSE	Jund
JUN_MOUSE	Jun
KAT5_MOUSE	Kat5
KAT8_MOUSE	Kat8
KDM2A_MOUSE	Kdm2a
KDM5A_MOUSE	Kdm5a
KDM5B_MOUSE	Kdm5b
KDM5C_MOUSE	Kdm5c
KLF15_MOUSE	Klf15
KLF1_MOUSE	Klf1
KLF3_MOUSE	Klf3
KLF4_MOUSE	Klf4
KLF5_MOUSE	Klf5
KLF6_MOUSE	Klf6
KMT2A_MOUSE	Kmt2a
KMT2B_MOUSE	Kmt2b
LHX2_MOUSE	Lhx2
LHX3_MOUSE	Lhx3
LHX6_MOUSE	Lhx6
LYL1_MOUSE	Lyl1
MAFA_MOUSE	Mafa
MAFB_MOUSE	Mafb
MAFF_MOUSE	Maff
MAFG_MOUSE	Mafg
MAFK_MOUSE	Mafk
MAF_MOUSE	Maf
MAX_MOUSE	Max
MAZ_MOUSE	Maz
MED12_MOUSE	Med12
MED1_MOUSE	Med1
MEF2A_MOUSE	Mef2a
MEF2C_MOUSE	Mef2c
MEF2D_MOUSE	Mef2d
MEIS1_MOUSE	Meis1
MITF_MOUSE	Mitf
MNX1_MOUSE	Mnx1
MSGN1_MOUSE	Msgn1
MSX1_MOUSE	Msx1
MTA2_MOUSE	Mta2
MXI1_MOUSE	Mxi1
MYBA_MOUSE	Mybl1
MYB_MOUSE	Myb
MYCN_MOUSE	Mycn
MYC_MOUSE	Myc
MYF5_MOUSE	Myf5
MYOD1_MOUSE	Myod1
MYOG_MOUSE	Myog
MYT1L_MOUSE	Myt1l
NANOG_MOUSE	Nanog
NCOA1_MOUSE	Ncoa1
NCOA2_MOUSE	Ncoa2
NCOA3_MOUSE	Ncoa3
NCOR1_MOUSE	Ncor1
NCOR2_MOUSE	Ncor2
NDF1_MOUSE	Neurod1
NDF2_MOUSE	Neurod2
NF2L2_MOUSE	Nfe2l2
NFAC1_MOUSE	Nfatc1
NFAC2_MOUSE	Nfatc2
NFE2_MOUSE	Nfe2
NFIB_MOUSE	Nfib
NFIC_MOUSE	Nfic
NFIL3_MOUSE	Nfil3
NFKB1_MOUSE	Nfkb1
NFYA_MOUSE	Nfya
NFYB_MOUSE	Nfyb
NFYC_MOUSE	Nfyc
NGN2_MOUSE	Neurog2
NKX21_MOUSE	Nkx2-1
NKX22_MOUSE	Nkx2-2
NKX25_MOUSE	Nkx2-5
NKX31_MOUSE	Nkx3-1
NKX32_MOUSE	Nkx3-2
NKX61_MOUSE	Nkx6-1
NR0B2_MOUSE	Nr0b2
NR1D1_MOUSE	Nr1d1
NR1D2_MOUSE	Nr1d2
NR1H2_MOUSE	Nr1h2
NR1H3_MOUSE	Nr1h3
NR1H4_MOUSE	Nr1h4
NR1I2_MOUSE	Nr1i2
NR4A1_MOUSE	Nr4a1
NR5A2_MOUSE	Nr5a2
NR6A1_MOUSE	Nr6a1
NRF1_MOUSE	Nrf1
OLIG2_MOUSE	Olig2
OTX2_MOUSE	Otx2
OVOL2_MOUSE	Ovol2
P53_MOUSE	Tp53
PAX3_MOUSE	Pax3
PAX5_MOUSE	Pax5
PAX6_MOUSE	Pax6
PAX7_MOUSE	Pax7
PB1_MOUSE	Pbrm1
PBX1_MOUSE	Pbx1
PDX1_MOUSE	Pdx1
PHF5A_MOUSE	Phf5a
PHX2A_MOUSE	Phox2a
PITX1_MOUSE	Pitx1
PITX2_MOUSE	Pitx2
PKNX1_MOUSE	Pknox1
PO2F1_MOUSE	Pou2f1
PO3F1_MOUSE	Pou3f1
PO3F2_MOUSE	Pou3f2
PO5F1_MOUSE	Pou5f1
PPARA_MOUSE	Ppara
PPARG_MOUSE	Pparg
PRD14_MOUSE	Prdm14
PRD16_MOUSE	Prdm16
PRDM1_MOUSE	Prdm1
PRDM4_MOUSE	Prdm4
PRDM5_MOUSE	Prdm5
PRDM9_MOUSE	Prdm9
PRGR_MOUSE	Pgr
PROP1_MOUSE	Prop1
PTF1A_MOUSE	Ptf1a
RARA_MOUSE	Rara
RARB_MOUSE	Rarb
RBPJL_MOUSE	Rbpjl
RCOR1_MOUSE	Rcor1
RCOR2_MOUSE	Rcor2
RELB_MOUSE	Relb
REL_MOUSE	Rel
REST_MOUSE	Rest
RFX1_MOUSE	Rfx1
RFX2_MOUSE	Rfx2
RFX3_MOUSE	Rfx3
RFX6_MOUSE	Rfx6
RORA_MOUSE	Rora
RORG_MOUSE	Rorc
RUNX1_MOUSE	Runx1
RUNX2_MOUSE	Runx2
RUNX3_MOUSE	Runx3
RXRA_MOUSE	Rxra
RXRG_MOUSE	Rxrg
SALL1_MOUSE	Sall1
SALL4_MOUSE	Sall4
SATB1_MOUSE	Satb1
SHOX2_MOUSE	Shox2
SIM2_MOUSE	Sim2
SIX2_MOUSE	Six2
SIX4_MOUSE	Six4
SMAD1_MOUSE	Smad1
SMAD2_MOUSE	Smad2
SMAD3_MOUSE	Smad3
SMAD4_MOUSE	Smad4
SMCA5_MOUSE	Smarca5
SMRC1_MOUSE	Smarcc1
SMRC2_MOUSE	Smarcc2
