From	To
AEBP2_HUMAN	AEBP2
AHR_HUMAN	AHR
ALX4_HUMAN	ALX4
ANDR_HUMAN	AR
AP2A_HUMAN	TFAP2A
AP2C_HUMAN	TFAP2C
ARI1A_HUMAN	ARID1A
ARI1B_HUMAN	ARID1B
ARI3B_HUMAN	ARID3B
ARID2_HUMAN	ARID2
ARNT2_HUMAN	ARNT2
ARNT_HUMAN	ARNT
ASCL1_HUMAN	ASCL1
ASCL2_HUMAN	ASCL2
ATF1_HUMAN	ATF1
ATF2_HUMAN	ATF2
ATF3_HUMAN	ATF3
ATF4_HUMAN	ATF4
ATF5_HUMAN	ATF5
ATF6A_HUMAN	ATF6
ATF7_HUMAN	ATF7
ATOH1_HUMAN	ATOH1
ATRX_HUMAN	ATRX
BACH1_HUMAN	BACH1
BACH2_HUMAN	BACH2
BARH1_HUMAN	BARHL1
BARX1_HUMAN	BARX1
BARX2_HUMAN	BARX2
BATF3_HUMAN	BATF3
BATF_HUMAN	BATF
BBX_HUMAN	BBX
BC11A_HUMAN	BCL11A
BC11B_HUMAN	BCL11B
BCL3_HUMAN	BCL3
BCL6_HUMAN	BCL6
BHE40_HUMAN	BHLHE40
BHE41_HUMAN	BHLHE41
BMAL1_HUMAN	ARNTL
BMAL2_HUMAN	ARNTL2
CASZ1_HUMAN	CASZ1
CDC5L_HUMAN	CDC5L
CDX1_HUMAN	CDX1
CDX2_HUMAN	CDX2
CEBPA_HUMAN	CEBPA
CEBPB_HUMAN	CEBPB
CEBPD_HUMAN	CEBPD
CEBPE_HUMAN	CEBPE
CEBPG_HUMAN	CEBPG
CIC_HUMAN	CIC
CLOCK_HUMAN	CLOCK
COE1_HUMAN	EBF1
COT1_HUMAN	NR2F1
COT2_HUMAN	NR2F2
CR3L1_HUMAN	CREB3L1
CR3L2_HUMAN	CREB3L2
CR3L4_HUMAN	CREB3L4
CRBL2_HUMAN	CREBL2
CREB1_HUMAN	CREB1
CREM_HUMAN	CREM
CRY1_HUMAN	CRY1
CTCFL_HUMAN	CTCFL
CTCF_HUMAN	CTCF
CUX1_HUMAN	CUX1
DBP_HUMAN	DBP
DDIT3_HUMAN	DDIT3
DLX1_HUMAN	DLX1
DLX2_HUMAN	DLX2
DLX4_HUMAN	DLX4
DLX6_HUMAN	DLX6
DMRT1_HUMAN	DMRT1
DMRT2_HUMAN	DMRT2
DNM3A_HUMAN	DNMT3A
DNM3B_HUMAN	DNMT3B
DUX4_HUMAN	DUX4
E2F1_HUMAN	E2F1
E2F2_HUMAN	E2F2
E2F3_HUMAN	E2F3
E2F4_HUMAN	E2F4
E2F6_HUMAN	E2F6
E2F7_HUMAN	E2F7
E2F8_HUMAN	E2F8
EGR1_HUMAN	EGR1
EGR2_HUMAN	EGR2
EGR3_HUMAN	EGR3
EHF_HUMAN	EHF
ELF1_HUMAN	ELF1
ELF2_HUMAN	ELF2
ELF3_HUMAN	ELF3
ELF4_HUMAN	ELF4
ELF5_HUMAN	ELF5
ELK1_HUMAN	ELK1
ELK4_HUMAN	ELK4
EMX1_HUMAN	EMX1
EOMES_HUMAN	EOMES
EPAS1_HUMAN	EPAS1
ERF_HUMAN	ERF
ERG_HUMAN	ERG
ERR1_HUMAN	ESRRA
ESR1_HUMAN	ESR1
ESR2_HUMAN	ESR2
ETS1_HUMAN	ETS1
ETV1_HUMAN	ETV1
ETV4_HUMAN	ETV4
ETV5_HUMAN	ETV5
ETV6_HUMAN	ETV6
ETV7_HUMAN	ETV7
