From	To
E0CY58	ENSMUSG00000038421
P70202	ENSMUSG00000047557
Q9Z0E1	ENSMUSG00000030041
D3Z340	ENSMUSG00000020263
Q9CR23	ENSMUSG00000026411
Q8K2A8	ENSMUSG00000033809
A3KFM7	ENSMUSG00000057133
P60840	ENSMUSG00000038619
A9C433	ENSMUSG00000024172
D3Z3A8	ENSMUSG00000039585
G3UXQ7	ENSMUSG00000022159
D3YWT5	ENSMUSG00000005649
Q99P81	ENSMUSG00000029299
Q80TS3	ENSMUSG00000037605
D3Z7G1	ENSMUSG00000058454
Q8C1B1	ENSMUSG00000041570
Q8C5Z9	ENSMUSG00000052642
Q8BGF7	ENSMUSG00000005682
P61161	ENSMUSG00000020152
E9PWK6	ENSMUSG00000034990
B1B0B1	ENSMUSG00000020525
Q3USX5	ENSMUSG00000059883
A2A9F3	ENSMUSG00000037600
P51829	ENSMUSG00000031659
Q3U957	ENSMUSG00000018442
D6RGT8	ENSMUSG00000037455
E9Q5E0	ENSMUSG00000001419
Q91ZZ3	ENSMUSG00000034891
P47713	ENSMUSG00000056220
Q5F2L2	ENSMUSG00000046152
B1AT60	ENSMUSG00000020610
P05784	ENSMUSG00000023043
Q924A2	ENSMUSG00000005442
G3UZM8	ENSMUSG00000002985
Q91WG0	ENSMUSG00000061825
Q8BPM2	ENSMUSG00000034761
Q8BFR5	ENSMUSG00000073838
Q9ESS2	ENSMUSG00000020327
Q8K4Q8	ENSMUSG00000036103
D3Z7M5	ENSMUSG00000025869
Q99MZ6	ENSMUSG00000024388
Q5BN45	ENSMUSG00000026831
P25318	ENSMUSG00000056174
E9Q517	ENSMUSG00000028542
A2ANP1	ENSMUSG00000028439
Q9CR13	ENSMUSG00000019689
E0CXU1	ENSMUSG00000032280
A2AB67	ENSMUSG00000043372
E9QA52	ENSMUSG00000022561
Q921L8	ENSMUSG00000038072
D3Z1W6	ENSMUSG00000042323
Q0VGU4	ENSMUSG00000037428
Q6P5D8	ENSMUSG00000024054
D6REF7	ENSMUSG00000020097
Q62267	ENSMUSG00000048455
D3Z4U9	ENSMUSG00000025498
F7CPB7	ENSMUSG00000046909
Q9DCV7	ENSMUSG00000023039
Q9ER35	ENSMUSG00000025175
A2AUP6	ENSMUSG00000035392
Q5QNQ4	ENSMUSG00000020435
Q91YT2	ENSMUSG00000020448
D3Z6T5	ENSMUSG00000036825
P54841	ENSMUSG00000074622
A2AUD5	ENSMUSG00000000827
Q9R0Q1	ENSMUSG00000031255
Q9QWF0	ENSMUSG00000002835
F8VQH0	ENSMUSG00000026596
Q505P3	ENSMUSG00000027459
O08989	ENSMUSG00000032470
Q60857	ENSMUSG00000020838
Q6Y5D8	ENSMUSG00000037148
Q8BY07	ENSMUSG00000040557
Q69ZK0	ENSMUSG00000039621
Q6PCX7	ENSMUSG00000070509
Q0VER9	ENSMUSG00000020327
Q8CE21	ENSMUSG00000015176
E9Q995	ENSMUSG00000025404
Q9ERV7	ENSMUSG00000025507
D3Z5S1	ENSMUSG00000038347
Q9CT10	ENSMUSG00000002372
E9PWB2	ENSMUSG00000024576
Q9CWZ4	ENSMUSG00000061559
Q3UG98	ENSMUSG00000015542
A2AEU1	ENSMUSG00000031139
P47759	ENSMUSG00000020297
Q8C726	ENSMUSG00000062202
A2TJV2	ENSMUSG00000047986
P15092	ENSMUSG00000073489
P15092	ENSMUSG00000026536
E9Q0G4	ENSMUSG00000073402
Q3UFB7	ENSMUSG00000028072
Q91XD6	ENSMUSG00000031479
D3Z4N3	ENSMUSG00000005686
Q3V1U4	ENSMUSG00000000889
Q3TMX5	ENSMUSG00000032575
Q810C0	ENSMUSG00000036790
Q05A56	ENSMUSG00000029680
Q8BLI4	ENSMUSG00000039497
Q9JJ69	ENSMUSG00000025221
F6R2G3	ENSMUSG00000079620
Q8VC51	ENSMUSG00000041346
Q8VCZ7	ENSMUSG00000044646
Q9D8Q7	ENSMUSG00000030147
D3Z379	ENSMUSG00000042078
Q8VC12	ENSMUSG00000034456
Q62348	ENSMUSG00000026374
P97306	ENSMUSG00000032502
Q3TTJ4	ENSMUSG00000074384
Q5SWG2	ENSMUSG00000020516
Q3TKZ9	ENSMUSG00000015176
Q8R3H7	ENSMUSG00000040151
A2ATJ2	ENSMUSG00000026999
Q69Z47	ENSMUSG00000058761
P31938	ENSMUSG00000004936
Q5ND37	ENSMUSG00000000753
Q7TN79	ENSMUSG00000039166
G3UYY5	ENSMUSG00000004266
P97825	ENSMUSG00000020737
P15864	ENSMUSG00000036181
Q9DAQ5	ENSMUSG00000018543
Q9JMG9	ENSMUSG00000020453
Q8R3N1	ENSMUSG00000036693
Q63880	ENSMUSG00000069922
Q6P2K6	ENSMUSG00000041846
Q9Z2W8	ENSMUSG00000025892
P62911	ENSMUSG00000057841
Q921D0	ENSMUSG00000021950
Q9D5W4	ENSMUSG00000039391
Q8VEH6	ENSMUSG00000024878
Q8BFQ2	ENSMUSG00000046157
Q8K207	ENSMUSG00000032666
Q61495	ENSMUSG00000069441
G3UZX9	ENSMUSG00000042719
D3Z644	ENSMUSG00000022677
E9PZ87	ENSMUSG00000073530
E9PUM6	ENSMUSG00000055762
Q99104	ENSMUSG00000034593
Q3TBL6	ENSMUSG00000074345
D3YUP1	ENSMUSG00000032185
E9QAF5	ENSMUSG00000067928
Q6P1J1	ENSMUSG00000029121
Q80W35	ENSMUSG00000049526
D3Z1V9	ENSMUSG00000074434
F6UP10	ENSMUSG00000048078
P12400	ENSMUSG00000074874
Q9R0P4	ENSMUSG00000030663
Q9Z1Q2	ENSMUSG00000007036
A6PWD6	ENSMUSG00000058163
E9PZ00	ENSMUSG00000004207
Q99JT1	ENSMUSG00000028085
Q9D5W6	ENSMUSG00000026336
P56379	ENSMUSG00000021290
D3Z325	ENSMUSG00000062210
G3UVU1	ENSMUSG00000002428
A6PW90	ENSMUSG00000046862
Q8BKN6	ENSMUSG00000047759
Q5SV85	ENSMUSG00000034940
E0CYD4	ENSMUSG00000024154
G3XA27	ENSMUSG00000031480
Q8BMS1	ENSMUSG00000025745
P70314	ENSMUSG00000021506
D3YV08	ENSMUSG00000025933
E9Q1A6	ENSMUSG00000075302
Q9EQJ9	ENSMUSG00000052539
B1AUX2	ENSMUSG00000031386
Q3SYJ2	ENSMUSG00000002240
D3YVN1	ENSMUSG00000027671
D3Z0X8	ENSMUSG00000046671
Q8K3X6	ENSMUSG00000030909
B4YDY0	ENSMUSG00000054477
E9PUB0	ENSMUSG00000032812
B7ZWH8	ENSMUSG00000044139
Q8BFW6	ENSMUSG00000041608
E9PX50	ENSMUSG00000079055
Q3UFT3	ENSMUSG00000042680
Q8BPQ5	ENSMUSG00000069170
P35456	ENSMUSG00000046223
P12399	ENSMUSG00000044258
