From	To
uniprot:E0CY58	Fcrla
uniprot:P70202	Lxn
uniprot:Q9Z0E1	M1ap
uniprot:D3Z340	Appl2
uniprot:Q9CR23	Tmem9
uniprot:Q6ZQ59	Dst
uniprot:Q8BRE1	Cdh3
uniprot:Q8K2A8	Alg3
uniprot:Q3V3V9	Carmil2
uniprot:A3KFM7	Chd6
uniprot:B2RR30	Kat2b
uniprot:P60840	Ensa
uniprot:Q9CVX7	Pibf1
uniprot:A9C433	St6gal2
uniprot:D3Z3A8	Myo9a
uniprot:G3UXQ7	Rab2b
uniprot:D3YWT5	Cabp5
uniprot:Q99P81	Abcg3
uniprot:Q80TS3	Adgrl3
uniprot:D3Z7G1	Dhcr7
uniprot:Q8C1B1	Camsap2
uniprot:Q8C5Z9	Lypd9
uniprot:Q8BGF7	Pan2
uniprot:P61161	Actr2
uniprot:E9PWK6	Otoa
uniprot:B1B0B1	Ppm1d
uniprot:Q3USX5	Irak4
uniprot:A2A9F3	Kdf1
uniprot:P51829	Adcy7
uniprot:Q3U957	Derl2
uniprot:A0JLM5	Med15
uniprot:D6RGT8	Slc18b1
uniprot:E9Q5E0	Mef2d
uniprot:Q91ZZ3	Sncb
uniprot:Q3UMF4	Ankrd11
uniprot:P47713	Pla2g4a
uniprot:B5T0I8	Apobec3
uniprot:Q5F2L2	Fut10
uniprot:Q8C6Y2	Slc12a7
uniprot:Q3ULZ4	Elf5
uniprot:Q8CDG7	4932438A13Rik
uniprot:B1AT60	Amz2
uniprot:P05784	Krt18
uniprot:Q924A2	Cic
uniprot:G3UZM8	Apoe
uniprot:Q91WG0	Ces2c
uniprot:Q8BPM2	Map4k5
uniprot:Q504P2	Clec12a
uniprot:Q8BFR5	Tufm
uniprot:Q9ESS2	Fgf22
uniprot:Q08EE6	Tsku
uniprot:Q80Y26	F10
uniprot:Q8K4Q8	Colec12
uniprot:Q0WXH3	H2-M3
uniprot:D3Z7M5	Nop16
uniprot:Q99MZ6	Myo7b
uniprot:P25318	Col8a2
uniprot:E9Q517	Slc6a9
uniprot:A2ANP1	Fam219a
uniprot:Q9CR13	Fmc1
uniprot:E0CXU1	Tle3
uniprot:A2AB67	Hexim2
uniprot:E9QA52	Gpaa1
uniprot:Q3UAF1	Ddx39
uniprot:Q921L8	Galnt11
uniprot:Q3UKS6	Mrpl40
uniprot:D3Z1W6	Pbrm1
uniprot:Q0VGU4	Vgf
uniprot:Q6P5D8	Smchd1
uniprot:D6REF7	Sgpl1
uniprot:Q62267	Sprr1b
uniprot:D3Z4U9	Irf7
uniprot:F7CPB7	Tefm
uniprot:Q9DCV7	Krt7
uniprot:Q9ER35	Fn3k
uniprot:A2AUP6	Dennd1a
uniprot:Q5QNQ4	Osbp2
uniprot:Q91YT2	Rnf185
uniprot:D3Z6T5	Ssx2ip
uniprot:Q3U6Y6	Cyth4
uniprot:P54841	Mafb
uniprot:Q69ZU6	Thsd7a
uniprot:Q3TRH1	Eif3a
uniprot:A2AUD5	Tpd52l2
uniprot:Q3TB25	Wrn
uniprot:Q14DU0	Scel
uniprot:Q9R0Q1	Sytl4
uniprot:Q9QWF0	Chaf1a
uniprot:F8VQH0	Abl2
uniprot:O08989	Mras
uniprot:Q60857	Slc6a4
uniprot:Q6Y5D8	Arhgap10
uniprot:Q8BY07	Mettl27
uniprot:Q69ZK0	Prex1
uniprot:Q6PCX7	Rgma
uniprot:Q0VER9	Fgf22
uniprot:Q3UQD9	Aff1
uniprot:E9Q995	R3hdm2
uniprot:Q9ERV7	Pidd1
uniprot:D3Z5S1	Tcte2
uniprot:Q3TU63	Ptpre
uniprot:Q9CT10	Ranbp3
uniprot:E9PWB2	Csnk1a1
uniprot:Q3UG98	Nat9
uniprot:P47759	Nsg2
uniprot:Q8C726	Btbd9
uniprot:A2TJV2	Palm3
uniprot:Q8K425	Retnlb
uniprot:Q8CBV5	Svs2
uniprot:E9Q0G4	Gm8909
uniprot:Q3UFB7	Ntrk1
uniprot:Q60592	Mast2
uniprot:Q91XD6	Vps36
uniprot:D3Z4N3	Ampd3
uniprot:Q3TMX5	Manf
uniprot:Q810C0	Slitrk2
uniprot:Q05A56	Hyal4
uniprot:Q8BLI4	Dse
uniprot:Q9JJ69	Kcnip2
uniprot:F6R2G3	Muc4
uniprot:Q8VC51	Wrap53
uniprot:Q8VCZ7	Zbtb7c
uniprot:Q9D8Q7	Clec4b1
uniprot:D3Z379	Svop
uniprot:Q3TAX0	Cd22
uniprot:Q8VC12	Uroc1
uniprot:Q569V4	Morf4l1
uniprot:Q62348	Tsn
uniprot:P97306	Stac
uniprot:B7ZNK7	Tle5
uniprot:Q80Z19	Muc2
uniprot:Q5SWG2	Rps6kb1
uniprot:Q8R3H7	Hs2st1
uniprot:A2ATJ2	Nup35
uniprot:P31938	Map2k1
uniprot:Q5ND37	Serpinf1
uniprot:Q7TN79	Akap7
uniprot:G3UYY5	Ptpn6
uniprot:Q3TZ84	Epn3
uniprot:P97825	Jpt1
uniprot:Q496P8	Bmp5
uniprot:P15864	Hist1h1c
uniprot:Q9JMG9	Patz1
uniprot:Q8R3N1	Nop14
uniprot:Q3TA54	Vapb
uniprot:Q63880	Ces3a
uniprot:Q6P2K6	Ppp4r3a
uniprot:B2RXU0	Susd1
uniprot:Q9Z2W8	Gria4
uniprot:P62911	Rpl32
uniprot:Q921D0	Anxa8
uniprot:Q9D5W4	Ccdc81
uniprot:Q8VEH6	Cbwd1
uniprot:Q8BFQ2	TMEM229B
uniprot:Q61495	Dsg1a
uniprot:G3UZX9	Naa25
uniprot:D3Z644	Fopnl
uniprot:E9PZ87	Pappa2
uniprot:E9PUM6	Eef1d
uniprot:Q99104	Myo5a
uniprot:Q543F1	Eftud2
uniprot:Q3TBL6	Tnfaip8l3
uniprot:D3YUP1	Carm1
uniprot:E9QAF5	Zfp760
uniprot:Q6P1J1	Crmp1
uniprot:Q2WFW2	Fcna
uniprot:Q80W35	Tmem202
uniprot:D3Z1V9	Defa28
uniprot:F6UP10	Tenm4
uniprot:Q3V3X2	Icos
uniprot:P12400	Ctla2b
uniprot:Q3UPI9	Pole
uniprot:Q9R0P4	Smap
uniprot:Q8R183	Timd2
uniprot:Q9Z1Q2	Abhd16a
uniprot:F5BFH0	Clec2d
uniprot:Q3TZ88	F930017D23Rik
uniprot:A6PWD6	Gm5431
uniprot:E9PZ00	Psap
uniprot:Q99JT1	Gatb
uniprot:Q9D5W6	Slco6d1
uniprot:P56379	Atp5mpl
uniprot:D3Z325	Tnfaip8
uniprot:G3UVU1	Hltf
uniprot:A6PW90	Pramef8
uniprot:Q8CD98	Pfkl
uniprot:Q8BKN6	Hs3st3a1
uniprot:Q5SV85	Synrg
uniprot:E0CYD4	Gtf2a1l
uniprot:G3XA27	Thsd1
uniprot:Q8BMS1	Hadha
uniprot:P70314	Pitx1
uniprot:Q80ZV2	Tubb5
uniprot:D3YV08	Tmem14a
uniprot:E9Q1A6	Erich2
uniprot:Q9EQJ9	Magi3
uniprot:Q9CWB5	Pgpep1l
uniprot:B1AUX2	Hcfc1
uniprot:Q3SYJ2	Prr27
uniprot:D3YVN1	Actl6a
uniprot:D3Z0X8	Mtfr1l
uniprot:Q8BHI6	Wdr36
uniprot:Q8K3X6	Anks4b
uniprot:Q8BQ11	Mtcl1
uniprot:B4YDY0	Kcnn2
uniprot:E9PUB0	Arap1
uniprot:Q68FF9	Srd5a1
uniprot:B7ZWH8	Prss53
uniprot:Q8BFW6	Entpd3
uniprot:Q3TYC0	Rasgef1a
uniprot:E9PX50	Slc8a3
uniprot:Q3UFT3	Garem1
uniprot:Q6PFD9	Nup98
uniprot:Q8BPQ5	Adgrv1
uniprot:P35456	Plaur
uniprot:P12399	Ctla2a
uniprot:G3X8Q1	Cabin1
uniprot:Q3ZB68	Mpl
uniprot:Q00420	Gabpb1
